"name","email","tournament","round","events"
"Jack John","jack@yopmail.com","Winner Tournament","Round 1","[{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Cliffs Of Dooneen"",""jockeyName"":""Craig Nichol""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""Bynx"",""jockeyName"":""P T Enright""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Ghumama"",""jockeyName"":""S A Mulcahy""},{""eventId"":""994828"",""raceName"":""16:35 Chepstow"",""horseName"":""Feel The Pinch"",""jockeyName"":""Liam Harrison""},{""eventId"":""994827"",""raceName"":""17:05 Chepstow"",""horseName"":""Rock Of Star"",""jockeyName"":""Adam Wedge""}]"
"undefined undefined",,"Winner Tournament","Round 1","[{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Outofthegloom"",""jockeyName"":""Nathan Moscrop""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""All About Beth"",""jockeyName"":""R Deegan""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Bulldoze"",""jockeyName"":""A P Cawley""},{""eventId"":""994828"",""raceName"":""16:35 Chepstow"",""horseName"":""Fama Et Gloria"",""jockeyName"":""Luca Morgan""},{""eventId"":""994827"",""raceName"":""17:05 Chepstow"",""horseName"":""River Of Joy"",""jockeyName"":""S Bowen""}]"
"undefined undefined",,"Winner Tournament","Round 1","[{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Cliffs Of Dooneen"",""jockeyName"":""Craig Nichol""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""Chica Power"",""jockeyName"":""E Walsh""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Bulldoze"",""jockeyName"":""A P Cawley""},{""eventId"":""994827"",""raceName"":""17:05 Chepstow"",""horseName"":""Beau Haze"",""jockeyName"":""Ben Jones""},{""eventId"":""994827"",""raceName"":""17:05 Chepstow"",""horseName"":""Anubhuti"",""jockeyName"":""Tom Cannon""}]"
"undefined undefined",,"Winner Tournament","Round 2 ","[{""eventId"":""994823"",""raceName"":""13:55 Chepstow"",""horseName"":""Camembert Electric"",""jockeyName"":""Mr Dylan Kitts""},{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Camembert Electric"",""jockeyName"":""Mr Dylan Kitts""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""Red Vision"",""jockeyName"":""B S Hughes""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Igraine"",""jockeyName"":""J J Slevin""},{""eventId"":""994821"",""raceName"":""15:40 Huntingdon"",""horseName"":""Away At Dawn"",""jockeyName"":""B S Hughes""}]"
"undefined undefined",,"Winner Tournament","Round 2 ","[{""eventId"":""994823"",""raceName"":""13:55 Chepstow"",""horseName"":""Mind Hunter"",""jockeyName"":""Ellis Collier""},{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Mind Hunter"",""jockeyName"":""Ellis Collier""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""Cornell"",""jockeyName"":""Callum Bewley""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Feel The Pinch"",""jockeyName"":""Liam Harrison""},{""eventId"":""994821"",""raceName"":""15:40 Huntingdon"",""horseName"":""Away At Dawn"",""jockeyName"":""B S Hughes""}]"
"Naman Singh","naman@yopmail.com","Winner Tournament","Round 2 ","[{""eventId"":""994823"",""raceName"":""13:55 Chepstow"",""horseName"":""Supasunrise"",""jockeyName"":""Finn Lambert""},{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Cornell"",""jockeyName"":""Callum Bewley""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""Chica Power"",""jockeyName"":""E Walsh""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Feel The Pinch"",""jockeyName"":""Liam Harrison""},{""eventId"":""994821"",""raceName"":""15:40 Huntingdon"",""horseName"":""Set In The West"",""jockeyName"":""N F Houlihan""}]"
"Naman Singh","naman@yopmail.com","Winner Tournament","Round 2 ","[{""eventId"":""994823"",""raceName"":""13:55 Chepstow"",""horseName"":""Supasunrise"",""jockeyName"":""Finn Lambert""},{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Cornell"",""jockeyName"":""Callum Bewley""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""Chica Power"",""jockeyName"":""E Walsh""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Feel The Pinch"",""jockeyName"":""Liam Harrison""},{""eventId"":""994821"",""raceName"":""15:40 Huntingdon"",""horseName"":""Set In The West"",""jockeyName"":""N F Houlihan""}]"
"Jack John","jack@yopmail.com","Winner Tournament","Round 2 ","[{""eventId"":""994823"",""raceName"":""13:55 Chepstow"",""horseName"":""Justshortofabubble"",""jockeyName"":""Jack Martin""},{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Outofthegloom"",""jockeyName"":""Nathan Moscrop""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""All Walks Of Life"",""jockeyName"":""S D Torrens""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Bulldoze"",""jockeyName"":""A P Cawley""},{""eventId"":""994821"",""raceName"":""15:40 Huntingdon"",""horseName"":""Set In The West"",""jockeyName"":""N F Houlihan""}]"
"undefined undefined",," 100 Tournament","Round 1","[{""eventId"":""995500"",""raceName"":""13:00 Hereford"",""horseName"":""Grange Road"",""jockeyName"":""Bryony Frost""},{""eventId"":""995497"",""raceName"":""13:55 Newton Abbot"",""horseName"":""Imperial Joe"",""jockeyName"":""N F Houlihan""},{""eventId"":""995516"",""raceName"":""17:30 Dundalk"",""horseName"":""Tooreen Angel"",""jockeyName"":""A J Slattery""},{""eventId"":""995510"",""raceName"":""19:15 Newcastle"",""horseName"":""Ba Na Hills"",""jockeyName"":""Jason Hart""}]"
"undefined undefined",,"1000 Tournament","Round 1","[{""eventId"":""995500"",""raceName"":""13:00 Hereford"",""horseName"":""Grange Road"",""jockeyName"":""Bryony Frost""},{""eventId"":""995487"",""raceName"":""13:35 Hereford"",""horseName"":""Mister Tickle"",""jockeyName"":""Joshua Moore""},{""eventId"":""995488"",""raceName"":""13:45 Musselburgh"",""horseName"":""Olympe de Gouges"",""jockeyName"":""T Scudamore""},{""eventId"":""995484"",""raceName"":""14:10 Hereford"",""horseName"":""Lion Face"",""jockeyName"":""Adam Wedge""},{""eventId"":""995501"",""raceName"":""14:45 Hereford"",""horseName"":""La Domaniale"",""jockeyName"":""Jonjo O'Neill Jr.""}]"
"undefined undefined",,"Play  Now Tournament","Round 1","[{""eventId"":""995500"",""raceName"":""13:00 Hereford"",""horseName"":""Malaita"",""jockeyName"":""Alex Edwards""},{""eventId"":""995487"",""raceName"":""13:35 Hereford"",""horseName"":""Bretney"",""jockeyName"":""J E Moore""},{""eventId"":""995484"",""raceName"":""14:10 Hereford"",""horseName"":""Greystoke"",""jockeyName"":""Tom Cannon""},{""eventId"":""995501"",""raceName"":""14:45 Hereford"",""horseName"":""Greystoke"",""jockeyName"":""Tom Cannon""}]"
"undefined undefined",,"28 march horse race","day 1","[{""eventId"":""999261"",""raceName"":""17:30 Newcastle"",""horseName"":""Coase"",""jockeyName"":null},{""eventId"":""999264"",""raceName"":""18:00 Newcastle"",""horseName"":""Moonis"",""jockeyName"":null},{""eventId"":""999267"",""raceName"":""18:30 Newcastle"",""horseName"":""Lazyitis"",""jockeyName"":null},{""eventId"":""999268"",""raceName"":""19:00 Newcastle"",""horseName"":""Bless Him"",""jockeyName"":null},{""eventId"":""999260"",""raceName"":""20:00 Newcastle"",""horseName"":""Show Maker"",""jockeyName"":null}]"
"Chetan Bansal","chetan.codedrill@gmail.com","Tournament New","Round 1","[{""eventId"":""999988"",""raceName"":""13:00 Fontwell"",""horseName"":""Dom Of Mary"",""jockeyName"":""T Scudamore""},{""eventId"":""999996"",""raceName"":""13:55 Uttoxeter"",""horseName"":""Lleyton"",""jockeyName"":""Theo Gillard""},{""eventId"":""1000010"",""raceName"":""14:15 Navan"",""horseName"":""Laakhof"",""jockeyName"":""C D Hayes""},{""eventId"":""999994"",""raceName"":""18:00 Wolverhampton"",""horseName"":""Abnaa"",""jockeyName"":""Mark Winn""},{""eventId"":""1000000"",""raceName"":""18:30 Wolverhampton"",""horseName"":""Mumcat"",""jockeyName"":""David Probert""}]"
"Chetan Bansal","chetan.codedrill@gmail.com","Tournament New","Round 2 ","[{""eventId"":""999996"",""raceName"":""13:55 Uttoxeter"",""horseName"":""Lleyton"",""jockeyName"":""Theo Gillard""},{""eventId"":""999994"",""raceName"":""18:00 Wolverhampton"",""horseName"":""Intervention"",""jockeyName"":""Oisin McSweeney""}]"
"Chetan Bansal","chetan.codedrill@gmail.com","4 april 2022","day 1 ","[{""eventId"":""1005027"",""raceName"":""13:00 Redcar"",""horseName"":""Primrose Ridge"",""jockeyName"":""Jason Watson""},{""eventId"":""1005012"",""raceName"":""14:15 Windsor"",""horseName"":""Dazzling Gem"",""jockeyName"":""Rossa Ryan""},{""eventId"":""1005020"",""raceName"":""14:50 Windsor"",""horseName"":""Zim Baby"",""jockeyName"":""S De Sousa""},{""eventId"":""1005014"",""raceName"":""15:25 Windsor"",""horseName"":""Zim Baby"",""jockeyName"":""S De Sousa""},{""eventId"":""1005015"",""raceName"":""16:00 Windsor"",""horseName"":""True Accolade"",""jockeyName"":""W Buick""}]"
"Rob Yeo","rob.yeo@twoupdigital.com","4 april 2022","day 1 ","[{""eventId"":""1005027"",""raceName"":""13:00 Redcar"",""horseName"":""Insolente"",""jockeyName"":""Megan Nicholls""},{""eventId"":""1005012"",""raceName"":""14:15 Windsor"",""horseName"":""Kaasib"",""jockeyName"":""A Kirby""},{""eventId"":""1005020"",""raceName"":""14:50 Windsor"",""horseName"":""Inver Park"",""jockeyName"":""W Buick""},{""eventId"":""1005014"",""raceName"":""15:25 Windsor"",""horseName"":""Hotspur Harry"",""jockeyName"":""Andrea Atzeni""},{""eventId"":""1005015"",""raceName"":""16:00 Windsor"",""horseName"":""Balgowan"",""jockeyName"":""Tom Marquand""}]"
"Rob Yeo","rob.yeo@twoupdigital.com","4TH","Monday","[{""eventId"":""1005027"",""raceName"":""13:00 Redcar"",""horseName"":""Jackie Chase"",""jockeyName"":""D Fentiman""},{""eventId"":""1005029"",""raceName"":""13:30 Redcar"",""horseName"":""Macmerry Jim"",""jockeyName"":""Kevin Stott""},{""eventId"":""1005023"",""raceName"":""14:05 Redcar"",""horseName"":""Tacitus"",""jockeyName"":""D Swift""},{""eventId"":""1005031"",""raceName"":""14:40 Redcar"",""horseName"":""The Grey Wolf"",""jockeyName"":""D Fentiman""}]"
"Jacky Shah","jack1@yopmail.com","Now","Round 1","[{""eventId"":""1005034"",""raceName"":""13:50 Kelso"",""horseName"":""Masked Crusader"",""jockeyName"":""B S Hughes""}]"
"Jacky Shah","jack1@yopmail.com","raman_11","Round 1","[{""eventId"":""1005034"",""raceName"":""13:50 Kelso"",""horseName"":""Masked Crusader"",""jockeyName"":""B S Hughes""}]"
"Jacky Shah","jack1@yopmail.com","Round 5 race","Round 1","[{""eventId"":""1005034"",""raceName"":""13:50 Kelso"",""horseName"":""Masked Crusader"",""jockeyName"":""B S Hughes""},{""eventId"":""1005022"",""raceName"":""14:25 Kelso"",""horseName"":""The Jad Factor"",""jockeyName"":""William Shanahan""},{""eventId"":""1005026"",""raceName"":""15:00 Kelso"",""horseName"":""Hidden Commander"",""jockeyName"":""Sean Quinlan""}]"
"Jacky Shah","jack1@yopmail.com","15 round","Round 1","[{""eventId"":""1005034"",""raceName"":""13:50 Kelso"",""horseName"":""Masked Crusader"",""jockeyName"":""B S Hughes""}]"
"Chetan Bansal","chetan.codedrill@gmail.com","7 april 2022","day 1","[{""eventId"":""1007096"",""raceName"":""14:35 Taunton"",""horseName"":""Kotki"",""jockeyName"":""Phillip Armson""},{""eventId"":""1007092"",""raceName"":""15:10 Taunton"",""horseName"":""Tip Top Tonto"",""jockeyName"":""Lee Edwards""},{""eventId"":""1007091"",""raceName"":""15:45 Taunton"",""horseName"":""Bells Of Peterboro"",""jockeyName"":""Charlie Price""},{""eventId"":""1007101"",""raceName"":""16:00 Chelmsford City"",""horseName"":""Mythical Madness"",""jockeyName"":""Mark Winn""},{""eventId"":""1007098"",""raceName"":""16:35 Chelmsford City"",""horseName"":""Lasting Legacy"",""jockeyName"":""J P Spencer""},{""eventId"":""1007102"",""raceName"":""17:08 Chelmsford City"",""horseName"":""Bear Profit"",""jockeyName"":""Marco Ghiani""},{""eventId"":""1007103"",""raceName"":""17:43 Chelmsford City"",""horseName"":""Alia Choice"",""jockeyName"":""Kevin Stott""}]"
"George Daly","george@coaxcreative.com","Tuesday","Tuesday 12th","[{""eventId"":""1010957"",""raceName"":""13:15 Newmarket"",""horseName"":""Family Ties"",""jockeyName"":""D Tudhope""},{""eventId"":""1010952"",""raceName"":""13:50 Newmarket"",""horseName"":""Bergerac"",""jockeyName"":""N Callan""},{""eventId"":""1010956"",""raceName"":""14:25 Newmarket"",""horseName"":""New Science"",""jockeyName"":""W Buick""},{""eventId"":""1010953"",""raceName"":""15:00 Newmarket"",""horseName"":""Master Of The Seas"",""jockeyName"":""W Buick""},{""eventId"":""1010967"",""raceName"":""15:15 Ayr"",""horseName"":""On We Go"",""jockeyName"":""Sean Quinlan""},{""eventId"":""1010951"",""raceName"":""15:35 Newmarket"",""horseName"":""Cachet"",""jockeyName"":""W Buick""},{""eventId"":""1010959"",""raceName"":""15:50 Ayr"",""horseName"":""Geonice"",""jockeyName"":""Sean Quinlan""},{""eventId"":""1010958"",""raceName"":""16:10 Newmarket"",""horseName"":""Crenelle"",""jockeyName"":""L Dettori""},{""eventId"":""1010954"",""raceName"":""16:20 Ayr"",""horseName"":""Geromino"",""jockeyName"":""B S Hughes""},{""eventId"":""1010955"",""raceName"":""16:45 Newmarket"",""horseName"":""Educator"",""jockeyName"":""Tom Marquand""}]"
"Rob Yeo","rob.yeo@twoupdigital.com","Tuesday","Tuesday 12th","[{""eventId"":""1010957"",""raceName"":""13:15 Newmarket"",""horseName"":""Bojink"",""jockeyName"":""W Buick""},{""eventId"":""1010952"",""raceName"":""13:50 Newmarket"",""horseName"":""Gale Force Maya"",""jockeyName"":""Connor Beasley""},{""eventId"":""1010956"",""raceName"":""14:25 Newmarket"",""horseName"":""New Science"",""jockeyName"":""W Buick""},{""eventId"":""1010953"",""raceName"":""15:00 Newmarket"",""horseName"":""Megallan"",""jockeyName"":""L Dettori""},{""eventId"":""1010967"",""raceName"":""15:15 Ayr"",""horseName"":""Gustav's Dream"",""jockeyName"":""Bruce Lynn""},{""eventId"":""1010951"",""raceName"":""15:35 Newmarket"",""horseName"":""Hello You"",""jockeyName"":""Rossa Ryan""},{""eventId"":""1010959"",""raceName"":""15:50 Ayr"",""horseName"":""Release The Kraken"",""jockeyName"":""B S Hughes""},{""eventId"":""1010958"",""raceName"":""16:10 Newmarket"",""horseName"":""Thanks Monica"",""jockeyName"":""Rob Hornby""},{""eventId"":""1010954"",""raceName"":""16:20 Ayr"",""horseName"":""Douglas Talking"",""jockeyName"":""D R Fox""},{""eventId"":""1010955"",""raceName"":""16:45 Newmarket"",""horseName"":""Thunder Max"",""jockeyName"":""S De Sousa""}]"
"George Daly","george@coaxcreative.com","13 april2022","day 1","[{""eventId"":""1011493"",""raceName"":""13:30 Cheltenham"",""horseName"":""Captain Morgs"",""jockeyName"":""Nico de Boinville""},{""eventId"":""1011495"",""raceName"":""14:05 Cheltenham"",""horseName"":""Stolen Silver"",""jockeyName"":""Sam Twiston-Davies""},{""eventId"":""1011494"",""raceName"":""14:40 Cheltenham"",""horseName"":""Call Of The Wild"",""jockeyName"":""Tom Cannon""},{""eventId"":""1011502"",""raceName"":""15:15 Cheltenham"",""horseName"":""Champagnesuperover"",""jockeyName"":""Adrian Heskin""},{""eventId"":""1011501"",""raceName"":""15:50 Cheltenham"",""horseName"":""Undersupervision"",""jockeyName"":""Sam Twiston-Davies""},{""eventId"":""1011498"",""raceName"":""16:25 Cheltenham"",""horseName"":""Last Royal"",""jockeyName"":""Nick Scholfield""}]"
